"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","465","login","Surefire suite","Mon Jun 16 17:22:10 GMT 2025","passed","Mon Jun 16 17:22:11 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","555","checkSortLowToHigh","Surefire suite","Mon Jun 16 17:22:06 GMT 2025","passed","Mon Jun 16 17:22:06 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSortLowToHigh"
"","467","Удачный логин","Surefire suite","Mon Jun 16 17:22:11 GMT 2025","passed","Mon Jun 16 17:22:12 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","1663","checkSortAToZ","Surefire suite","Mon Jun 16 17:22:03 GMT 2025","passed","Mon Jun 16 17:22:04 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSortAToZ"
"","577","checkSortZtoA","Surefire suite","Mon Jun 16 17:22:07 GMT 2025","passed","Mon Jun 16 17:22:07 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSortZtoA"
"","448","login","Surefire suite","Mon Jun 16 17:22:10 GMT 2025","passed","Mon Jun 16 17:22:10 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","438","checkWithWrongPassword","Surefire suite","Mon Jun 16 17:22:13 GMT 2025","passed","Mon Jun 16 17:22:14 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkWithWrongPassword"
"","527","checkWrongSortAToZ","Surefire suite","Mon Jun 16 17:22:09 GMT 2025","passed","Mon Jun 16 17:22:09 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkWrongSortAToZ"
"","545","checkWrongSort","Surefire suite","Mon Jun 16 17:22:08 GMT 2025","passed","Mon Jun 16 17:22:08 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkWrongSort"
"","579","checkSortHighToLow","Surefire suite","Mon Jun 16 17:22:05 GMT 2025","passed","Mon Jun 16 17:22:05 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSortHighToLow"
"Проверка добавления товара в корзину","817","checkCart1","Surefire suite","Mon Jun 16 17:22:14 GMT 2025","passed","Mon Jun 16 17:22:15 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart1"
"","433","checkLoginWithEmptyPassword","Surefire suite","Mon Jun 16 17:22:12 GMT 2025","passed","Mon Jun 16 17:22:13 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
