"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","596","Удачный логин","Surefire suite","Thu Mar 12 17:19:32 UTC 2026","passed","Thu Mar 12 17:19:32 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Проверка добавления товара в корзину","1082","checkCart1","Surefire suite","Thu Mar 12 17:19:34 UTC 2026","passed","Thu Mar 12 17:19:36 UTC 2026","tests.CartTest","Surefire test","tests.CartTest","checkCart1"
"","663","checkWrongSortAToZ","Surefire suite","Thu Mar 12 17:19:29 UTC 2026","passed","Thu Mar 12 17:19:29 UTC 2026","tests.SortTest","Surefire test","tests.SortTest","checkWrongSortAToZ"
"","541","checkWithWrongPassword","Surefire suite","Thu Mar 12 17:19:34 UTC 2026","passed","Thu Mar 12 17:19:34 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkWithWrongPassword"
"","538","checkLoginWithEmptyPassword","Surefire suite","Thu Mar 12 17:19:33 UTC 2026","passed","Thu Mar 12 17:19:33 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","679","checkSortLowToHigh","Surefire suite","Thu Mar 12 17:19:25 UTC 2026","passed","Thu Mar 12 17:19:26 UTC 2026","tests.SortTest","Surefire test","tests.SortTest","checkSortLowToHigh"
"","678","checkSortZtoA","Surefire suite","Thu Mar 12 17:19:27 UTC 2026","passed","Thu Mar 12 17:19:27 UTC 2026","tests.SortTest","Surefire test","tests.SortTest","checkSortZtoA"
"","555","login","Surefire suite","Thu Mar 12 17:19:31 UTC 2026","passed","Thu Mar 12 17:19:31 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","690","checkSortHighToLow","Surefire suite","Thu Mar 12 17:19:24 UTC 2026","passed","Thu Mar 12 17:19:25 UTC 2026","tests.SortTest","Surefire test","tests.SortTest","checkSortHighToLow"
"","2605","checkSortAToZ","Surefire suite","Thu Mar 12 17:19:21 UTC 2026","passed","Thu Mar 12 17:19:24 UTC 2026","tests.SortTest","Surefire test","tests.SortTest","checkSortAToZ"
"","559","login","Surefire suite","Thu Mar 12 17:19:30 UTC 2026","passed","Thu Mar 12 17:19:30 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","646","checkWrongSort","Surefire suite","Thu Mar 12 17:19:28 UTC 2026","passed","Thu Mar 12 17:19:28 UTC 2026","tests.SortTest","Surefire test","tests.SortTest","checkWrongSort"
