"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Авторизация","0","Страница логина","1","0","Позитивный логин","0"
"0","Корзина","0","Добавление товара","1","0","Отображение товара в корзине","0"
"0","","0","","10","0","","0"
