"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","437","checkWithWrongPassword","Surefire suite","Mon Jun 16 17:24:57 GMT 2025","passed","Mon Jun 16 17:24:58 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkWithWrongPassword"
"Проверка добавления товара в корзину","789","checkCart1","Surefire suite","Mon Jun 16 17:24:58 GMT 2025","passed","Mon Jun 16 17:24:59 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart1"
"","548","checkSortHighToLow","Surefire suite","Mon Jun 16 17:24:49 GMT 2025","passed","Mon Jun 16 17:24:50 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSortHighToLow"
"","2131","checkSortAToZ","Surefire suite","Mon Jun 16 17:24:47 GMT 2025","passed","Mon Jun 16 17:24:49 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSortAToZ"
"","451","login","Surefire suite","Mon Jun 16 17:24:55 GMT 2025","passed","Mon Jun 16 17:24:55 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","547","checkSortLowToHigh","Surefire suite","Mon Jun 16 17:24:50 GMT 2025","passed","Mon Jun 16 17:24:51 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSortLowToHigh"
"","527","checkWrongSort","Surefire suite","Mon Jun 16 17:24:52 GMT 2025","passed","Mon Jun 16 17:24:53 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkWrongSort"
"","411","checkLoginWithEmptyPassword","Surefire suite","Mon Jun 16 17:24:57 GMT 2025","passed","Mon Jun 16 17:24:57 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","425","login","Surefire suite","Mon Jun 16 17:24:54 GMT 2025","passed","Mon Jun 16 17:24:54 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","459","Удачный логин","Surefire suite","Mon Jun 16 17:24:56 GMT 2025","passed","Mon Jun 16 17:24:56 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","551","checkSortZtoA","Surefire suite","Mon Jun 16 17:24:51 GMT 2025","passed","Mon Jun 16 17:24:52 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSortZtoA"
"","513","checkWrongSortAToZ","Surefire suite","Mon Jun 16 17:24:53 GMT 2025","passed","Mon Jun 16 17:24:54 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkWrongSortAToZ"
